ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,Shell_humidity_weight
1772,F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7,0.095
1773,M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11,0.298
1774,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9,0.165
1775,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9,0.102
1776,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7,0.077
1777,M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10,0.155
1778,I,0.445,0.32,0.12,0.378,0.152,0.0825,0.12,8,0.106
1779,M,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,11,0.329
1780,I,0.355,0.27,0.1,0.216,0.083,0.037,0.075,10,0.058
1781,M,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,11,0.25
1782,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7,0.123
1783,M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,9,0.286
1784,M,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,14,0.26
1785,M,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15,0.363
1786,M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16,0.454
1787,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19,0.306
1788,F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11,0.129
1789,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,0.312
1790,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9,0.098
1791,I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8,0.099
1792,M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5,0.032
1793,F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18,0.456
1794,F,0.625,0.52,0.18,1.354,0.4845,0.351,0.375,11,0.495
1795,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,0.195
1796,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8,0.122
1797,I,0.375,0.28,0.08,0.226,0.105,0.047,0.065,6,0.056
1798,I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9,0.19
1799,I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9,0.172
1800,M,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12,0.322
1801,M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10,0.305
1802,M,0.62,0.49,0.155,1.1,0.505,0.2475,0.31,9,0.285
1803,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9,0.394
1804,M,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11,0.225
1805,M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10,0.203
1806,F,0.75,0.55,0.195,1.8325,0.83,0.366,0.44,11,0.562
1807,M,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12,0.091
1808,I,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,7,0.053
1809,F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,11,0.256
1810,M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11,0.202
1811,F,0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,10,0.359
1812,F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14,0.321
1813,F,0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,12,0.396
1814,M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12,0.18
1815,I,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11,0.09
1816,M,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16,0.198
1817,I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6,0.038
1818,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9,0.217
1819,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6,0.124
1820,I,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,7,0.199
1821,M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19,0.285
1822,I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,8,0.076
1823,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,0.237
1824,I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,12,0.175
1825,M,0.66,0.535,0.2,1.791,0.733,0.318,0.54,15,0.518
1826,F,0.605,0.48,0.175,1.1685,0.4815,0.2305,0.356,9,0.331
1827,I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,7,0.094
1828,M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8,0.062
1829,I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4,0.025
1830,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19,0.28
1831,M,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10,0.307
1832,M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9,0.319
1833,M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10,0.338
1834,M,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,11,0.226
1835,M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9,0.473
1836,M,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13,0.357
1837,M,0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,9,0.33
1838,M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18,0.439
1839,M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15,0.548
1840,F,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9,0.198
1841,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4,0.013
1842,F,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,9,0.365
1843,F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13,0.711
1844,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,0.266
1845,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8,0.125
1846,M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,21,0.428
1847,I,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,5,0.052
1848,M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11,0.354
1849,I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6,0.078
1850,M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15,0.26
1851,M,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,9,0.378
1852,M,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,16,0.307
1853,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8,0.142
1854,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14,0.479
1855,F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8,0.301
1856,M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11,0.111
1857,I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11,0.183
1858,I,0.505,0.385,0.125,0.596,0.245,0.097,0.21,9,0.141
1859,F,0.66,0.53,0.17,1.431,0.622,0.309,0.398,10,0.411
1860,M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8,0.204
1861,F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8,0.251
1862,F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,14,0.317
1863,F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7,0.246
1864,M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9,0.223
1865,M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11,0.359
1866,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,0.033
1867,M,0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,11,0.308
1868,I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4,0.016
1869,I,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,7,0.066
1870,M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8,0.239
1871,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,0.14
1872,I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6,0.104
1873,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8,0.059
1874,I,0.55,0.42,0.13,0.636,0.294,0.144,0.1755,8,0.167
1875,F,0.54,0.44,0.16,1.0905,0.391,0.2295,0.355,15,0.345
1876,I,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7,0.057
1877,F,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,10,0.428
1878,F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11,0.345
1879,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10,0.13
1880,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13,0.196
1881,I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5,0.017
1882,I,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,9,0.185
1883,M,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9,0.221
1884,M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,10,0.559
1885,F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8,0.27
1886,I,0.565,0.42,0.155,0.743,0.31,0.186,0.231,9,0.202
1887,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8,0.109
1888,I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4,0.016
1889,F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13,0.372
1890,M,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17,0.272
1891,M,0.68,0.515,0.16,1.2345,0.618,0.2625,0.325,11,0.291
1892,F,0.67,0.53,0.205,1.4015,0.643,0.2465,0.416,12,0.342
1893,F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9,0.21
1894,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8,0.151
1895,I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9,0.142
1896,M,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9,0.298
1897,M,0.57,0.46,0.155,1.0005,0.454,0.205,0.265,11,0.281
1898,I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,7,0.128
1899,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,0.463
1900,M,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8,0.168
1901,I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4,0.005
1902,F,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,11,0.461
1903,F,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11,0.534
1904,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10,0.192
1905,F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8,0.183
1906,I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9,0.204
1907,M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10,0.396
1908,M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14,0.224
1909,M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12,0.27
1910,F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11,0.331
1911,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9,0.129
1912,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6,0.069
1913,F,0.595,0.47,0.155,1.1775,0.542,0.269,0.31,9,0.325
1914,M,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16,0.204
1915,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,0.754
1916,M,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,7,0.206
1917,I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5,0.017
1918,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23,0.407
1919,F,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11,0.093
1920,M,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,9,0.281
1921,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6,0.034
1922,F,0.64,0.5,0.15,1.2015,0.559,0.231,0.3355,9,0.307
1923,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14,0.168
1924,I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8,0.079
1925,F,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10,0.252
1926,I,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,8,0.087
1927,F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,11,0.281
1928,M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10,0.062
1929,I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8,0.187
1930,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9,0.212
1931,F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11,0.102
1932,F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10,0.061
1933,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23,0.407
1934,M,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16,0.204
1935,M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9,0.288
1936,F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7,0.246
1937,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,0.437
1938,I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6,0.074
1939,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,0.567
1940,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,0.117
1941,F,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17,0.176
1942,M,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,9,0.306
1943,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11,0.14
1944,M,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,15,0.597
1945,M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14,0.299
1946,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9,0.287
1947,F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11,0.506
1948,F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11,0.453
1949,F,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8,0.273
1950,F,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17,0.278
1951,I,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,10,0.202
1952,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9,0.064
1953,I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9,0.055
1954,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8,0.109
1955,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8,0.045
1956,F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10,0.413
1957,F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7,0.242
1958,F,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,10,0.513
1959,F,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,14,0.335
1960,I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7,0.053
1961,I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5,0.025
1962,M,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9,0.236
1963,M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4,0.01
1964,M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8,0.332
1965,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8,0.109
1966,I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11,0.25
1967,F,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12,0.087
1968,M,0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11,0.567
1969,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,0.247
1970,F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11,0.484
1971,M,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13,0.291
1972,I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4,0.032
1973,F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,16,0.428
1974,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4,0.038
1975,F,0.66,0.475,0.18,1.3695,0.641,0.294,0.335,6,0.393
1976,I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11,0.176
1977,F,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9,0.181
1978,F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8,0.171
1979,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8,0.247
1980,F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17,0.396
1981,I,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6,0.076
1982,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11,0.251
1983,F,0.59,0.455,0.15,0.976,0.465,0.2055,0.2765,10,0.234
1984,M,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9,0.055
1985,I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7,0.082
1986,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,0.156
1987,I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6,0.277
1988,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,0.118
1989,I,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,7,0.032
1990,I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5,0.009
1991,M,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11,0.225
1992,I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19,0.137
1993,F,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10,0.088
1994,F,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12,0.514
1995,M,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9,0.289
1996,I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7,0.083
1997,M,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,9,0.2
1998,I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7,0.089
1999,I,0.51,0.4,0.145,0.5775,0.231,0.143,0.177,9,0.17
2000,I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4,0.005
2001,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,0.041
2002,I,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12,0.186
2003,M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10,0.062
2004,I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8,0.187
2005,M,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11,0.255
2006,F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,12,0.357
2007,I,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6,0.101
2008,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,0.278
2009,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8,0.133
2010,I,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,12,0.238
2011,M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16,0.245
2012,M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,0.078
2013,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10,0.13
2014,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13,0.116
2015,I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9,0.117
2016,M,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27,0.545
2017,I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7,0.081
2018,F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12,0.362
2019,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9,0.113
2020,I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3,0.019
2021,F,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,9,0.181
2022,M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11,0.497
2023,F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9,0.295
2024,M,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,11,0.453
2025,M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10,0.241
2026,I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11,0.192
2027,F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9,0.313
2028,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7,0.069
2029,M,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12,0.254
2030,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,0.008
2031,M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13,0.361
2032,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9,0.45
2033,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,0.078
2034,M,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9,0.216
2035,M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10,0.353
2036,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9,0.217
2037,M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12,0.29
2038,I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,0.043
2039,M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15,0.471
2040,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10,0.319
2041,M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5,0.029
2042,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12,0.191
2043,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9,0.187
2044,I,0.45,0.35,0.125,0.4775,0.2235,0.089,0.118,6,0.136
2045,I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,9,0.328
2046,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9,0.109
2047,I,0.53,0.395,0.115,0.475,0.2025,0.101,0.148,8,0.124
2048,I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7,0.068
2049,F,0.695,0.525,0.205,1.8185,0.819,0.4025,0.4525,13,0.547
2050,I,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,6,0.038
2051,F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9,0.498
2052,F,0.7,0.575,0.205,1.773,0.605,0.447,0.538,13,0.63
2053,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7,0.047
2054,F,0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10,0.315
2055,I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7,0.082
2056,M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10,0.18
2057,M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9,0.231
2058,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,0.186
2059,M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10,0.246
2060,M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11,0.243
2061,M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10,0.11
2062,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,0.008
2063,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10,0.138
2064,F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8,0.183
2065,I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9,0.19
2066,I,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6,0.092
2067,M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,0.127
2068,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9,0.049
2069,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29,0.627
2070,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9,0.111
2071,I,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9,0.068
2072,F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18,0.158
2073,M,0.535,0.42,0.16,0.72,0.275,0.164,0.225,15,0.22
2074,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,0.035
2075,F,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,11,0.611
2076,I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7,0.048
2077,M,0.62,0.465,0.145,0.911,0.375,0.2145,0.278,10,0.258
2078,I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,5,0.083
2079,F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12,0.165
2080,I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7,0.083
2081,M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,0.343
2082,M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7,0.034
2083,F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17,0.396
2084,F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13,0.236
2085,F,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,12,0.272
2086,I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5,0.065
2087,F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16,0.289
2088,I,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,9,0.185
2089,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8,0.18
2090,M,0.645,0.495,0.19,1.539,0.6115,0.408,0.445,12,0.482
2091,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9,0.098
2092,F,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14,0.312
2093,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8,0.12
2094,I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,7,0.128
2095,F,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,9,0.261
2096,M,0.605,0.455,0.16,1.1215,0.533,0.273,0.271,10,0.317
2097,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12,0.853
2098,I,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,7,0.084
2099,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9,0.38
2100,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8,0.161
2101,I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5,0.008
2102,M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9,0.347
2103,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,0.294
2104,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,0.052
2105,F,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10,0.108
2106,I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8,0.128
2107,M,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10,0.334
2108,I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6,0.041
2109,F,0.51,0.395,0.12,0.6175,0.262,0.122,0.193,12,0.163
2110,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,0.04
2111,I,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7,0.094
2112,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,0.245
2113,I,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6,0.052
